iter	RMSE
0	1.017604781
1	1.00421448
2	0.9923891902
3	0.9824035837
4	0.9740501779
5	0.9671870712
6	0.9615564838
7	0.9567462557
8	0.9526709692
9	0.9492992319
10	0.946184774
11	0.9433551249
12	0.9411333906
13	0.9391939286
14	0.9374998251
15	0.9363059875
16	0.9348559321
17	0.93388797
18	0.9328098592
19	0.9316074899
20	0.930419833
21	0.9295147609
22	0.9287760331
23	0.927691313
24	0.9268420368
25	0.9264146345
26	0.9253981117
27	0.9249290254
28	0.9244021298
29	0.9239413471
30	0.923248767
31	0.9217599972
32	0.9213359807
33	0.920915166
34	0.9204694846
35	0.9201229252
36	0.919563077
37	0.9191347326
38	0.9187545264
39	0.9180208639
40	0.9177794058
41	0.9176093947
42	0.9171484497
43	0.9167743092
44	0.9163666987
45	0.9161141577
46	0.9157218678
47	0.915217918
48	0.9150259484
49	0.914788503
50	0.9145854015
51	0.9143263238
52	0.9140282562
53	0.9138430295
54	0.91355984
55	0.9134983639
56	0.913377861
57	0.9132972069
58	0.913073669
59	0.9129986171
60	0.9128886063
61	0.9127218749
62	0.9126347186
63	0.9125233293
64	0.9121562093
65	0.9120465151
66	0.9119799309
67	0.9115820642
68	0.9114269051
69	0.9111957383
70	0.9110841119
71	0.910921787
72	0.9108578653
73	0.9105469595
74	0.9104161631
75	0.91029151
76	0.9102177776
77	0.910114407
78	0.9098322392
79	0.9096994642
80	0.9095219851
81	0.9092917243
82	0.9091218661
83	0.9087415232
84	0.9086348187
85	0.9085919636
86	0.9085074072
87	0.9083039797
88	0.9082226559
89	0.9080187923
90	0.9079139896
91	0.9077628071
92	0.907626285
93	0.9075174303
94	0.9072770509
95	0.9071626895
96	0.9069699682
97	0.9069231766
98	0.9068339167
99	0.9067115768
100	0.9066544057
101	0.906391252
102	0.9062731723
103	0.9059652602
104	0.9057700327
105	0.9056856741
106	0.9055588956
107	0.9054160091
108	0.9053080334
109	0.905071244
110	0.9049965241
111	0.9049083405
112	0.9047662829
113	0.9046327593
114	0.9044869938
115	0.9043620549
116	0.9042668199
117	0.9041446414
118	0.9038247396
119	0.9034428874
120	0.9032506599
121	0.9031389501
122	0.9030431767
123	0.9029654393
124	0.9028939899
125	0.902801767
126	0.90263787
127	0.9021116689
128	0.9019791747
129	0.9018987924
130	0.9017295847
131	0.9015591303
132	0.9014706739
133	0.9013648841
134	0.9012677456
135	0.9011699344
136	0.9010381634
137	0.9008834736
138	0.9007897505
139	0.900665982
140	0.9005279403
141	0.9004428011
142	0.9003493442
143	0.9001780519
144	0.8999571323
145	0.8998369564
146	0.8997124652
147	0.8994913811
148	0.899363352
149	0.8992396836
150	0.8991477108
151	0.8989906046
152	0.8989386172
153	0.8988543167
154	0.8987199934
155	0.8986305359
156	0.8985472485
157	0.8984321229
158	0.8982518562
159	0.8981662812
160	0.8980795603
161	0.8979989211
162	0.89792177
163	0.8978771932
164	0.8977777168
165	0.8976802648
166	0.8975258169
167	0.8974623854
168	0.897240902
169	0.8971275138
170	0.8970250704
171	0.8969363127
172	0.896722494
173	0.8966886877
174	0.8965680766
175	0.8963273318
176	0.8962218004
177	0.8961299865
178	0.8960304465
179	0.895914215
180	0.8958827394
181	0.895758412
182	0.8956555264
183	0.8956547585
184	0.8955414272
185	0.8954652536
186	0.8953599156
187	0.8952667582
188	0.8951792284
189	0.8949768534
190	0.894938059
191	0.8948077926
192	0.8945530719
193	0.8944588735
194	0.8943201645
195	0.8942319089
196	0.8941617275
197	0.8940738244
198	0.8939528715
199	0.8938812037
200	0.8937862457
201	0.8937121385
202	0.893629125
203	0.8935674135
204	0.8934391137
205	0.8934055413
206	0.8932943711
207	0.8932081211
208	0.8931453937
209	0.8930847631
210	0.8929820376
211	0.892848028
212	0.8927644456
213	0.8926951579
214	0.8926218133
215	0.8925535614
216	0.8924643906
217	0.8924179649
218	0.8923274495
219	0.8922430384
220	0.8921928556
221	0.892137417
222	0.8921056795
223	0.8920784325
224	0.8920520097
225	0.8920044321
226	0.8919428975
227	0.8919423182
228	0.8918620299
229	0.8917857281
230	0.8916842175
231	0.8916117465
232	0.8915125969
233	0.8914419499
234	0.8913612446
235	0.8912988506
236	0.89125433
237	0.8912016017
238	0.891128424
239	0.891096297
240	0.8910479752
241	0.8909208975
242	0.8908589102
243	0.8907809594
244	0.8906881236
245	0.8906096485
246	0.8906091145
247	0.8904294036
248	0.8902716534
249	0.8901937578
250	0.8901090325
251	0.8900641844
252	0.889991681
253	0.8897767272
254	0.8896948728
255	0.8896632607
256	0.8895761785
257	0.8893713769
258	0.8893524352
259	0.8892145887
260	0.8891660011
261	0.8891354231
262	0.8890835241
263	0.8890399027
264	0.888953616
265	0.8888744863
266	0.8888086801
267	0.8886662681
268	0.8886312193
269	0.888541509
270	0.8884630186
271	0.888357314
272	0.8883079429
273	0.8882853757
274	0.8881024939
275	0.8880322365
276	0.8879653859
277	0.8879107448
278	0.8877695629
279	0.8876788076
280	0.8876319681
281	0.8875907175
282	0.8874652467
283	0.8873179229
284	0.8872433633
285	0.8871231985
286	0.8870907852
287	0.8870262016
288	0.8869734808
289	0.8868682571
290	0.8868015976
291	0.8866861743
292	0.8866402365
293	0.8866115381
294	0.8865280823
295	0.8864710256
296	0.8863141885
297	0.8862034796
298	0.8861183672
299	0.8860355153
300	0.8859504974
301	0.8858724196
302	0.8858408789
303	0.8857944571
304	0.8856688474
305	0.8855785086
306	0.8855627782
307	0.8855125499
308	0.8854976629
309	0.8854141675
310	0.8853295007
311	0.8852698878
312	0.8852208913
313	0.8851915718
314	0.8849234166
315	0.8848704263
316	0.8847880012
317	0.8847140915
318	0.8846676529
319	0.8845703193
320	0.8845338218
321	0.8844664831
322	0.8843762422
323	0.8843060914
324	0.884239462
325	0.8841836224
326	0.8841479621
327	0.8841146165
328	0.8840406475
329	0.8840316067
330	0.8839105286
331	0.8838039141
332	0.883751516
333	0.8836194114
334	0.8835554991
335	0.8834864345
336	0.8833621862
337	0.8833092327
338	0.8832520063
339	0.8832112392
340	0.8831732804
341	0.8830333089
342	0.8829654903
343	0.8829351844
344	0.882808781
345	0.8827673462
346	0.8827009681
347	0.8827005692
348	0.8826614927
349	0.8825972003
350	0.8825968409
351	0.8825168445
352	0.8824415351
353	0.8823571306
354	0.8822852073
355	0.8821849044
356	0.8821702987
357	0.8821310818
358	0.8820955804
359	0.8820422805
360	0.8819775794
361	0.8819597636
362	0.8819089463
363	0.8818327181
364	0.8816571102
365	0.8816030597
366	0.8815357269
367	0.8814176269
368	0.8813755368
369	0.8813038906
370	0.8812819386
371	0.8812165771
372	0.8811462196
373	0.8810923153
374	0.881079614
375	0.8810199673
376	0.8810004302
377	0.8809223673
378	0.8808629484
379	0.8807714171
380	0.8807455038
381	0.8807324755
382	0.8806462584
383	0.8806105674
384	0.8804107111
385	0.8803046475
386	0.8802721034
387	0.880214648
388	0.8802055505
389	0.8801420444
390	0.8800770075
391	0.8800631668
392	0.880022248
393	0.8799475243
394	0.8798600643
395	0.8798177992
396	0.8797778089
397	0.8796914583
398	0.8796846649
399	0.8796370339
400	0.8795989852
401	0.8795517013
402	0.8794947102
403	0.8794682678
404	0.8794340847
405	0.8793810263
406	0.8793042172
407	0.8792641538
408	0.8791839494
409	0.8791079145
410	0.879066083
411	0.8790205431
412	0.8788031676
413	0.8787402143
414	0.8786808535
415	0.8786690368
416	0.8786135975
417	0.878593132
418	0.8785098388
419	0.8784901971
420	0.878460037
421	0.8784069376
422	0.8784016285
423	0.8783847037
424	0.8783399769
425	0.8782655935
426	0.8782499061
427	0.8781149963
428	0.8780239207
429	0.877993578
430	0.8778593992
431	0.8777758575
432	0.8777576328
433	0.8777045158
434	0.8776398785
435	0.8775703027
436	0.8775273593
437	0.8774848734
438	0.8773523579
439	0.8773227256
440	0.877267383
441	0.8772468026
442	0.877204323
443	0.8770528552
444	0.8770405218
445	0.8770266287
446	0.8769965537
447	0.876903667
448	0.8768100011
449	0.8767690899
450	0.8767172081
451	0.8766320331
452	0.876565731
453	0.8765009534
454	0.8764427598
455	0.8764103225
456	0.8763587168
457	0.8763336328
458	0.8762982152
459	0.8762521631
460	0.8761847053
461	0.8761321605
462	0.8760721092
463	0.8760342291
464	0.8759835327
465	0.8759366929
466	0.8759322586
467	0.8758969076
468	0.8758825072
469	0.8758189594
470	0.8757868906
471	0.875737014
472	0.8756989218
473	0.8755825352
474	0.8755188887
475	0.8754457307
476	0.8753858543
477	0.8753366128
478	0.8752039548
479	0.8751841527
480	0.8751811406
481	0.8751466651
482	0.8750803924
483	0.8750457404
484	0.8750004648
485	0.8749579346
486	0.8748809964
487	0.8748503741
488	0.8747785048
489	0.8747523545
490	0.8747200729
491	0.8746870084
492	0.8746337461
493	0.874626136
494	0.8744838055
495	0.8744332357
496	0.8743525872
497	0.8743063191
498	0.8742523369
499	0.874185216
500	0.8741234143
501	0.8740683599
502	0.8740037745
503	0.8739396672
504	0.8738921077
505	0.8738371481
506	0.8737641916
507	0.8736679553
508	0.8736098977
509	0.873539225
510	0.8735174841
511	0.8734790247
512	0.8734367257
513	0.8733546336
514	0.873279104
515	0.873188808
516	0.8731572552
517	0.8731056174
518	0.873047543
519	0.8730389601
520	0.8730004515
521	0.8729386358
522	0.8728954874
523	0.8728605039
524	0.872810374
525	0.8727713108
526	0.8727408749
527	0.8726850268
528	0.8726685481
529	0.8726516224
530	0.8725754072
531	0.8725231429
532	0.8724970667
533	0.8724779322
534	0.8723755428
535	0.8723329636
536	0.8722806914
537	0.8722386749
538	0.8722005857
539	0.8721429845
540	0.8720701172
541	0.872049218
542	0.8719839536
543	0.8719181315
544	0.8718705708
545	0.8718355615
546	0.8718064543
547	0.8717078264
548	0.8716779064
549	0.8716485245
550	0.8715770544
551	0.8714761878
552	0.8714357718
553	0.8714221014
554	0.8713543464
555	0.8713413622
