iter	Passed	Remaining
0	9	9283
1	17	8928
2	26	8820
3	33	8342
4	40	8102
5	48	7964
6	55	7861
7	62	7700
8	69	7695
9	76	7572
10	84	7573
11	92	7591
12	98	7492
13	106	7498
14	113	7484
15	121	7454
16	129	7512
17	137	7526
18	146	7564
19	153	7527
20	160	7499
21	168	7495
22	176	7512
23	184	7492
24	192	7490
25	198	7442
26	206	7445
27	214	7442
28	221	7422
29	228	7402
30	237	7418
31	247	7484
32	253	7435
33	261	7427
34	269	7443
35	278	7448
36	288	7496
37	296	7508
38	305	7516
39	312	7495
40	320	7490
41	327	7460
42	333	7424
43	340	7396
44	348	7386
45	356	7396
46	363	7362
47	371	7367
48	378	7350
49	388	7381
50	395	7361
51	404	7366
52	412	7375
53	420	7358
54	425	7318
55	432	7287
56	439	7272
57	444	7223
58	451	7196
59	457	7165
60	464	7152
61	470	7121
62	476	7087
63	482	7058
64	488	7029
65	495	7015
66	502	6994
67	508	6974
68	515	6960
69	523	6955
70	530	6936
71	537	6921
72	542	6884
73	550	6883
74	556	6869
75	564	6859
76	571	6851
77	579	6847
78	586	6841
79	593	6822
80	601	6828
81	608	6814
82	614	6787
83	623	6796
84	630	6784
85	637	6779
86	644	6761
87	652	6763
88	660	6761
89	698	7058
90	704	7036
91	712	7029
92	720	7023
93	726	7005
94	734	6995
95	740	6970
96	747	6961
97	755	6952
98	760	6922
99	767	6910
100	774	6889
101	782	6888
102	789	6879
103	798	6883
104	805	6863
105	810	6835
106	818	6832
107	824	6809
108	831	6795
109	837	6777
110	844	6766
111	852	6762
112	860	6754
113	866	6735
114	874	6726
115	881	6718
116	889	6711
117	896	6699
118	904	6693
119	911	6686
120	917	6668
121	924	6654
122	932	6646
123	938	6627
124	946	6624
125	951	6603
126	959	6592
127	967	6590
128	974	6576
129	981	6567
130	988	6559
131	995	6544
132	1003	6541
133	1009	6526
134	1017	6519
135	1025	6512
136	1031	6497
137	1037	6481
138	1044	6467
139	1050	6452
140	1057	6443
141	1063	6425
142	1071	6418
143	1078	6410
144	1084	6395
145	1091	6385
146	1098	6376
147	1106	6369
148	1112	6355
149	1120	6351
150	1127	6341
151	1136	6338
152	1142	6323
153	1149	6315
154	1159	6318
155	1166	6310
156	1174	6307
157	1181	6298
158	1188	6287
159	1195	6278
160	1203	6273
161	1210	6259
162	1217	6251
163	1224	6241
164	1231	6233
165	1239	6228
166	1246	6218
167	1251	6198
168	1261	6200
169	1268	6192
170	1275	6181
171	1280	6165
172	1287	6153
173	1294	6142
174	1299	6124
175	1305	6110
176	1312	6100
177	1319	6093
178	1326	6082
179	1333	6075
180	1341	6067
181	1346	6053
182	1353	6044
183	1356	6016
184	1364	6009
185	1370	5999
186	1378	5991
187	1384	5980
188	1390	5965
189	1397	5958
190	1406	5955
191	1413	5949
192	1421	5942
193	1429	5940
194	1437	5933
195	1443	5921
196	1449	5908
197	1455	5897
198	1464	5893
199	1469	5876
200	1476	5868
201	1487	5878
202	1495	5872
203	1502	5861
204	1509	5854
205	1515	5843
206	1522	5832
207	1528	5821
208	1535	5812
209	1542	5804
210	1550	5797
211	1559	5794
212	1566	5787
213	1575	5786
214	1583	5781
215	1591	5777
216	1599	5773
217	1606	5762
218	1614	5756
219	1620	5746
220	1628	5739
221	1635	5731
222	1641	5719
223	1650	5717
224	1657	5707
225	1664	5699
226	1672	5693
227	1675	5672
228	1682	5665
229	1689	5656
230	1695	5645
231	1704	5643
232	1712	5637
233	1719	5629
234	1726	5618
235	1733	5612
236	1739	5600
237	1745	5590
238	1753	5582
239	1759	5571
240	1765	5559
241	1770	5545
242	1777	5538
243	1785	5531
244	1791	5522
