iter	RMSE
0	1.017775959
1	1.004273237
2	0.9924554794
3	0.982352697
4	0.9741236391
5	0.9672783619
6	0.9615554988
7	0.9566839583
8	0.9525264763
9	0.9490105656
10	0.9459211771
11	0.9435895186
12	0.9413973073
13	0.9395364625
14	0.9379687392
15	0.9364083864
16	0.9350373944
17	0.9334345622
18	0.932219894
19	0.9311320232
20	0.9303550166
21	0.9294384292
22	0.9283955066
23	0.9277645285
24	0.9267917541
25	0.9260206738
26	0.9254433031
27	0.9247692215
28	0.9239180851
29	0.9233623133
30	0.9230285473
31	0.9223862946
32	0.9218480365
33	0.9214318618
34	0.9211013155
35	0.92054681
36	0.9195648955
37	0.9191525952
38	0.9186584868
39	0.9183605778
40	0.918254825
41	0.9180159596
42	0.9176803212
43	0.9174325338
44	0.9171571071
45	0.9168923559
46	0.9166692952
47	0.9164023308
48	0.9159852569
49	0.9157716823
50	0.9153658384
51	0.915057208
52	0.9148201138
53	0.914663384
54	0.9144251116
55	0.9141114117
56	0.9139231639
57	0.913820091
58	0.9136197548
59	0.9134544465
60	0.9128514403
61	0.912539878
62	0.9124607031
63	0.911811006
64	0.9113666116
65	0.9112588557
66	0.9111167421
67	0.9108837612
68	0.9106969556
69	0.910554669
70	0.9103528537
71	0.9101990717
72	0.9100314696
73	0.9099015792
74	0.9097092246
75	0.9096497437
76	0.9094607453
77	0.9093163748
78	0.9092169172
79	0.9090624658
80	0.9088800008
81	0.9087676011
82	0.908678686
83	0.9085882451
84	0.9084590548
85	0.908418739
86	0.9083001073
87	0.9080373173
88	0.9079668208
89	0.9078849904
90	0.9078033015
91	0.9076954489
92	0.9075720569
93	0.9073030604
94	0.9071233889
95	0.9069799854
96	0.9064835926
97	0.9063185172
98	0.9062543888
99	0.9061330797
100	0.9060394681
101	0.905837941
102	0.9057697674
103	0.9055531258
104	0.9052829708
105	0.9051993617
106	0.9050899808
107	0.9048417401
108	0.9047661671
109	0.9044792518
110	0.9042091551
111	0.9041670334
112	0.9041204454
113	0.903963647
114	0.9037672878
115	0.9036487695
116	0.9033844815
117	0.9033131137
118	0.9031705433
119	0.9029271693
120	0.9027886743
121	0.9027334285
122	0.9025567368
123	0.9022673907
124	0.9021443372
125	0.9020219778
126	0.9019521924
127	0.901836959
128	0.9017166992
129	0.9015358477
130	0.9014305735
131	0.9013438674
132	0.90122582
133	0.9009135159
134	0.9008312457
135	0.9006356252
136	0.9005476565
137	0.9004651709
138	0.9003489604
139	0.9002545827
140	0.9001446723
141	0.9000299139
142	0.8998157873
143	0.899727226
144	0.899622169
145	0.8994905291
146	0.8991586754
147	0.8990632875
148	0.8989807506
149	0.8988665186
150	0.8986470016
151	0.8985654866
152	0.8984941957
153	0.8983600324
154	0.8983047588
155	0.8982586311
156	0.8980651514
157	0.8976752675
158	0.8975077649
159	0.8973826919
160	0.8972048207
161	0.8971658616
162	0.8970964871
163	0.8969791295
164	0.8968966275
165	0.8967748561
166	0.8966782163
167	0.8965436285
168	0.8964365696
169	0.8963309769
170	0.8962178042
171	0.8959646868
172	0.8959639696
173	0.8958815159
174	0.8958163307
175	0.8957339393
176	0.8956708168
177	0.8955367419
178	0.8953819114
179	0.8953265778
180	0.8952603362
181	0.8951673266
182	0.8949976356
183	0.8949289132
184	0.8948748042
185	0.8947821261
186	0.8947004728
187	0.8946308363
188	0.8945581551
189	0.8944934493
190	0.8944229753
191	0.8942914933
192	0.8941544969
193	0.8940624565
194	0.8939929988
195	0.8938762591
196	0.8937341854
197	0.893630266
198	0.8936024845
199	0.893480049
200	0.8933719716
201	0.8933443429
202	0.893217165
203	0.8932122909
204	0.8931213315
205	0.8930709877
206	0.8929567057
207	0.892862205
208	0.8928259503
209	0.8927381475
210	0.8927005906
211	0.892612505
212	0.8925740344
213	0.8924218822
214	0.8923383279
215	0.8922903691
216	0.892239327
217	0.8921651762
218	0.8920872071
219	0.8920328118
220	0.8920165537
221	0.891945167
222	0.8918496646
223	0.8918222314
224	0.8917230192
225	0.8914791372
226	0.8914265831
227	0.8910833943
228	0.8910571756
229	0.8909918663
230	0.8908530313
231	0.8906928534
232	0.8906334186
233	0.8905634864
234	0.8905069839
235	0.8904354453
236	0.8904081823
237	0.8903585289
238	0.8903077805
239	0.890240775
240	0.8901878083
241	0.8899228679
242	0.8898085664
243	0.8897323184
244	0.8897004475
245	0.8896628259
246	0.8894726723
247	0.8893999205
248	0.8893206147
249	0.8892549782
250	0.8891795067
251	0.889109428
252	0.8888919974
253	0.8888297486
254	0.8888172583
255	0.8887796168
256	0.8887073059
257	0.8886058508
258	0.888538407
259	0.888538
260	0.8884766752
261	0.8883884603
262	0.8883213978
263	0.8882603907
264	0.8882216521
265	0.8881793049
266	0.8880583396
267	0.8880362072
268	0.8879476451
269	0.8879238514
270	0.8879234823
271	0.8878476136
272	0.8877167116
273	0.887614638
274	0.8875833968
275	0.8874957214
276	0.8874250773
277	0.8873231571
278	0.8872905745
279	0.8872209285
280	0.8872045991
281	0.8871448801
282	0.8871033139
283	0.8870395756
284	0.8869380024
285	0.8869091815
286	0.8868610143
287	0.8868090965
288	0.8867408972
289	0.8866313608
290	0.8865915766
291	0.8865460416
292	0.8864574089
293	0.8863394212
294	0.8862560633
295	0.886201253
296	0.8861475464
297	0.8861039176
298	0.8860297482
299	0.8859148839
300	0.8858583466
301	0.8857806957
302	0.885677804
303	0.8856536871
304	0.8856035402
305	0.8855620414
306	0.8854980765
307	0.8854718605
308	0.8853903887
309	0.8853310357
310	0.8852616346
311	0.8852107562
312	0.8851547435
313	0.8851544514
314	0.8850938963
315	0.8848893732
316	0.8848107181
317	0.8847009398
318	0.8846320463
319	0.8846317789
320	0.8846099872
321	0.8844943535
322	0.8844672159
323	0.8842415054
324	0.8842085751
325	0.8841282268
326	0.8840691733
327	0.8839682115
328	0.8837832978
329	0.8837144564
330	0.8836698397
331	0.8835766141
332	0.8834634412
333	0.8833780846
334	0.8833366721
335	0.8832920867
336	0.8832560463
337	0.8832280033
338	0.8831727971
339	0.883121428
340	0.8830746537
341	0.8830059696
342	0.8829161956
343	0.8828327448
344	0.8826841304
345	0.8826762136
346	0.8825672824
347	0.8825231428
348	0.882435971
349	0.8823891329
350	0.8823387194
351	0.8823043799
352	0.8822820312
353	0.8822153253
354	0.8822007904
355	0.8821297586
356	0.8820414887
357	0.881980119
358	0.8819310251
