iter	Passed	Remaining
0	9	9206
1	20	10149
2	28	9584
3	36	8997
4	43	8578
5	50	8412
6	57	8217
7	65	8068
8	72	7995
9	80	7928
10	89	8014
11	97	8010
12	105	8017
13	113	7981
14	120	7941
15	129	7962
16	137	7947
17	145	7942
18	154	7977
19	162	7958
20	170	7962
21	179	7994
22	190	8074
23	197	8027
24	206	8058
25	214	8032
26	222	8020
27	231	8023
28	239	8005
29	247	7991
30	254	7947
31	262	7925
32	270	7930
33	278	7917
34	286	7901
35	293	7866
36	303	7903
37	310	7858
38	317	7834
39	325	7813
40	330	7739
41	338	7725
42	347	7736
43	354	7712
44	362	7698
45	369	7672
46	379	7688
47	387	7686
48	395	7678
49	403	7674
50	411	7658
51	420	7664
52	426	7626
53	435	7632
54	444	7629
55	452	7621
56	459	7606
57	467	7584
58	475	7576
59	484	7589
60	493	7596
61	501	7583
62	507	7544
63	515	7537
64	523	7528
65	531	7520
66	539	7510
67	548	7518
68	555	7495
69	562	7476
70	570	7468
71	578	7453
72	584	7423
73	592	7409
74	599	7396
75	606	7375
76	614	7364
77	621	7344
78	630	7352
79	636	7321
80	644	7315
81	650	7285
82	657	7266
83	665	7259
84	672	7242
85	679	7221
86	686	7205
87	695	7210
88	701	7183
89	708	7163
90	715	7142
91	720	7114
92	727	7090
93	735	7086
94	741	7061
95	746	7030
96	754	7026
97	762	7014
98	769	7005
99	778	7008
100	785	6996
101	794	6998
102	802	6985
103	810	6984
104	819	6985
105	826	6970
106	833	6958
107	841	6947
108	848	6934
109	858	6949
110	866	6942
111	874	6930
112	880	6908
113	886	6892
114	895	6893
115	902	6877
116	911	6876
117	918	6866
118	925	6853
119	934	6850
120	940	6831
121	947	6819
122	955	6809
123	962	6802
124	969	6784
125	975	6769
126	981	6747
127	991	6752
128	999	6747
129	1007	6742
130	1014	6729
131	1022	6725
132	1030	6720
133	1040	6721
134	1046	6706
135	1053	6694
136	1059	6674
137	1065	6653
138	1072	6645
139	1080	6639
140	1087	6624
141	1093	6608
142	1101	6600
143	1107	6585
144	1115	6578
145	1123	6573
146	1130	6560
147	1138	6556
148	1145	6541
149	1152	6529
150	1159	6521
151	1167	6514
152	1175	6507
153	1183	6500
154	1190	6488
155	1197	6479
156	1204	6467
157	1213	6465
158	1220	6458
159	1227	6442
160	1235	6436
161	1242	6425
162	1249	6416
163	1257	6410
164	1264	6397
165	1272	6394
166	1280	6385
167	1288	6383
168	1295	6367
169	1302	6360
170	1310	6354
171	1317	6341
172	1320	6311
173	1328	6305
174	1336	6302
175	1345	6299
176	1353	6292
177	1359	6278
178	1367	6272
179	1374	6261
180	1380	6248
181	1387	6236
182	1394	6224
183	1401	6213
184	1408	6205
185	1415	6196
186	1422	6185
187	1429	6172
188	1434	6157
189	1442	6151
190	1450	6143
191	1456	6128
192	1464	6123
193	1469	6106
194	1476	6093
195	1482	6082
196	1490	6076
197	1496	6063
198	1503	6051
199	1511	6045
200	1519	6041
201	1526	6030
202	1535	6027
203	1540	6012
204	1546	5999
205	1554	5989
206	1561	5982
207	1567	5969
208	1575	5962
209	1583	5958
210	1590	5948
211	1600	5948
212	1606	5937
213	1614	5929
214	1622	5924
215	1630	5916
216	1635	5901
217	1643	5895
218	1650	5884
219	1657	5875
220	1661	5857
221	1668	5845
222	1675	5836
223	1682	5828
224	1691	5825
225	1700	5823
226	1708	5818
227	1717	5814
228	1725	5807
229	1733	5802
230	1741	5798
231	1779	5889
232	1794	5906
233	1801	5897
234	1807	5882
235	1813	5870
236	1819	5857
237	1826	5846
238	1834	5839
239	1841	5830
240	1848	5820
241	1855	5812
242	1863	5806
243	1872	5801
244	1879	5792
245	1885	5780
246	1893	5772
247	1901	5766
248	1909	5760
249	1916	5748
250	1923	5739
251	1930	5730
252	1937	5721
253	1944	5709
254	1950	5698
255	1957	5688
256	1966	5684
257	1973	5675
258	1982	5672
259	1985	5651
260	1992	5642
261	2000	5634
262	2006	5623
263	2014	5615
264	2021	5605
265	2029	5599
266	2037	5592
267	2043	5581
268	2052	5577
269	2060	5570
270	2063	5550
271	2071	5545
272	2083	5547
273	2091	5542
274	2099	5535
275	2108	5530
276	2118	5528
277	2128	5527
278	2135	5518
279	2142	5508
280	2149	5499
281	2158	5494
282	2168	5494
283	2176	5487
284	2184	5481
285	2191	5472
286	2199	5464
287	2206	5454
288	2213	5444
289	2220	5436
290	2227	5426
291	2236	5423
292	2245	5417
293	2251	5407
294	2260	5401
295	2267	5391
296	2274	5384
297	2282	5375
298	2288	5366
299	2297	5360
300	2303	5349
301	2310	5340
302	2318	5333
303	2324	5322
304	2332	5316
305	2341	5309
306	2347	5300
307	2354	5290
308	2362	5283
309	2369	5274
310	2377	5267
311	2386	5262
312	2394	5255
313	2397	5236
314	2405	5231
315	2412	5221
316	2419	5213
317	2426	5203
318	2434	5196
319	2437	5178
320	2443	5168
321	2452	5163
322	2458	5153
323	2466	5147
324	2472	5135
325	2479	5127
326	2487	5118
327	2494	5109
328	2501	5101
329	2508	5092
330	2517	5087
331	2525	5081
332	2532	5071
333	2540	5065
334	2547	5056
335	2553	5046
336	2560	5037
337	2566	5027
338	2574	5019
339	2580	5009
340	2588	5002
341	2596	4995
342	2605	4991
343	2613	4983
344	2621	4977
345	2628	4967
346	2636	4962
347	2644	4954
348	2652	4947
349	2657	4935
350	2664	4927
351	2672	4920
352	2679	4911
353	2686	4901
354	2692	4891
355	2700	4884
356	2708	4878
357	2716	4871
358	2723	4862
359	2732	4858
360	2738	4848
361	2745	4839
362	2753	4832
363	2761	4824
364	2768	4816
365	2776	4809
366	2783	4800
367	2790	4792
368	2798	4785
369	2804	4775
370	2812	4767
371	2820	4761
372	2826	4751
373	2831	4739
374	2839	4732
375	2847	4725
376	2855	4719
377	2861	4709
378	2868	4700
379	2876	4692
380	2883	4684
381	2891	4677
382	2898	4668
383	2906	4662
384	2913	4654
385	2921	4647
386	2927	4637
387	2934	4628
388	2940	4618
389	2946	4608
390	2955	4602
391	2962	4594
392	2970	4587
393	2978	4580
394	2983	4569
395	2989	4559
396	2996	4551
397	3003	4542
398	3010	4534
399	3017	4526
400	3023	4515
401	3031	4509
402	3038	4501
403	3045	4492
404	3052	4484
405	3058	4474
406	3066	4468
407	3073	4459
408	3082	4453
409	3090	4447
410	3093	4433
411	3100	4424
412	3107	4416
413	3116	4410
